iter	Passed	Remaining
413	3287	4652
414	3294	4643
415	3302	4635
416	3309	4627
417	3317	4618
418	3325	4611
419	3332	4601
420	3340	4594
421	3347	4584
422	3355	4576
423	3361	4567
424	3368	4557
425	3376	4550
426	3384	4542
427	3392	4534
428	3401	4527
429	3409	4519
430	3418	4512
431	3425	4504
432	3433	4496
433	3441	4488
434	3449	4480
435	3456	4471
436	3464	4463
437	3471	4454
438	3478	4445
439	3487	4438
440	3495	4431
441	3505	4425
442	3513	4417
443	3520	4409
444	3527	4399
445	3535	4392
446	3542	4382
447	3550	4375
448	3557	4365
449	3565	4357
450	3573	4349
451	3580	4341
452	3588	4333
453	3596	4325
454	3604	4317
455	3613	4310
456	3621	4302
457	3627	4293
458	3634	4284
459	3643	4277
460	3650	4268
461	3657	4258
462	3666	4251
463	3672	4242
464	3680	4234
465	3688	4227
466	3696	4218
467	3702	4209
468	3709	4200
469	3717	4192
470	3725	4184
471	3734	4177
472	3741	4168
473	3748	4159
474	3755	4151
475	3762	4142
476	3770	4134
477	3777	4125
478	3785	4117
479	3792	4108
480	3800	4100
481	3806	4090
482	3815	4083
483	3821	4074
484	3829	4066
485	3837	4058
486	3845	4050
487	3852	4042
488	3860	4034
489	3868	4026
490	3876	4018
491	3883	4010
492	3890	4000
493	3898	3993
494	3907	3986
495	3915	3978
496	3922	3969
497	3930	3961
498	3936	3952
499	3945	3945
500	3953	3937
501	3961	3930
502	3969	3922
503	3976	3913
504	3983	3904
505	3991	3896
506	3999	3888
507	4005	3879
508	4013	3871
509	4022	3864
510	4029	3856
511	4036	3846
512	4044	3839
513	4051	3830
514	4059	3823
515	4067	3815
516	4075	3807
517	4084	3800
518	4090	3791
519	4097	3781
520	4103	3772
521	4110	3763
522	4116	3754
523	4123	3745
524	4129	3736
525	4135	3727
526	4142	3718
527	4149	3709
528	4155	3700
529	4162	3691
530	4168	3682
531	4175	3673
532	4181	3663
533	4188	3655
534	4195	3646
535	4202	3638
536	4209	3629
537	4215	3620
538	4222	3611
539	4229	3602
540	4235	3593
541	4242	3584
542	4248	3575
543	4255	3567
544	4262	3558
545	4268	3549
546	4275	3541
547	4281	3531
548	4288	3523
549	4294	3513
550	4301	3504
551	4307	3496
552	4313	3486
553	4320	3478
554	4326	3469
555	4333	3460
556	4341	3452
557	4347	3443
558	4354	3435
559	4360	3426
560	4367	3417
561	4374	3409
562	4380	3400
563	4387	3391
564	4393	3382
565	4400	3373
566	4407	3365
567	4413	3356
568	4420	3348
569	4426	3339
570	4433	3330
571	4439	3322
572	4446	3313
573	4452	3304
574	4459	3296
575	4465	3287
576	4472	3278
577	4478	3270
578	4485	3261
579	4493	3253
580	4499	3244
581	4506	3236
582	4512	3227
583	4519	3219
584	4525	3210
585	4532	3201
586	4539	3193
587	4545	3184
588	4552	3176
589	4558	3167
590	4565	3159
591	4572	3151
