iter	Logloss
0	0.6386661332
1	0.5956033582
2	0.5590647597
3	0.5258111361
4	0.501818637
5	0.4817426008
6	0.4644518616
7	0.4499478603
8	0.4373319593
9	0.4283827823
10	0.41908608
11	0.4109360577
12	0.404759338
13	0.399146588
14	0.3939922724
15	0.3899446299
16	0.3862825338
17	0.383060922
18	0.3796452292
19	0.376551825
20	0.3737480597
21	0.3717458134
22	0.3699000933
23	0.368204593
24	0.3664873936
25	0.3650606762
26	0.3634600007
27	0.3621044203
28	0.3610775791
29	0.3597975007
30	0.3588197122
31	0.3578091097
32	0.3568672696
33	0.356007228
34	0.3553463017
35	0.3545218539
36	0.3535791705
37	0.3528362617
38	0.3522141626
39	0.3516241052
40	0.350964909
41	0.3503996382
42	0.349709295
43	0.3491954013
44	0.3485755888
45	0.3480713377
46	0.3476177926
47	0.3471837704
48	0.3465606886
49	0.3460974255
50	0.3457533823
51	0.3454606492
52	0.3449374447
53	0.344477711
54	0.344278399
55	0.3437511536
56	0.3434112587
57	0.3431024095
58	0.3427538246
59	0.3425802734
60	0.3422557453
61	0.3418552651
62	0.3413729667
63	0.3411611022
64	0.3408438384
65	0.3405132219
66	0.3402008405
67	0.3399432099
68	0.339534706
69	0.3392956068
70	0.3390038246
71	0.338604749
72	0.3383486604
73	0.3380230386
74	0.3377498677
75	0.3375232522
76	0.3373185792
77	0.3371383359
78	0.3369486389
79	0.3367060309
80	0.3364287171
81	0.3361968078
82	0.3359856168
83	0.3358169111
84	0.3356253625
85	0.3354091653
86	0.3351550522
87	0.334969511
88	0.3347145563
89	0.3344501042
90	0.3342292463
91	0.3340688293
92	0.3338319903
93	0.3335517762
94	0.3333754849
95	0.3331749563
96	0.3329667546
97	0.3328238814
98	0.3326708331
99	0.3323999291
100	0.3322092919
101	0.331962741
102	0.3318405089
103	0.3315993153
104	0.3314636457
105	0.3312348854
106	0.330966703
107	0.3308630539
108	0.3307418626
109	0.3305449358
110	0.3304284326
111	0.330255294
112	0.3301205281
113	0.3299536514
114	0.3297698985
115	0.3295983999
116	0.3293641901
117	0.3291709589
118	0.328960658
119	0.3287522662
120	0.328540132
121	0.3283709827
122	0.3282356126
123	0.3281012657
124	0.3279716484
125	0.3277833748
126	0.3275932199
127	0.327466682
128	0.3272647425
129	0.3270994779
130	0.3269129564
131	0.3267758754
132	0.3266086161
133	0.3263973477
134	0.3262126635
135	0.3260516238
136	0.3259653453
137	0.3258379117
138	0.3256901763
139	0.3255157342
140	0.3253603509
141	0.3251973145
142	0.3250796311
143	0.3249062932
144	0.3247250778
145	0.3245916997
146	0.3244116695
147	0.3243157403
148	0.3241629723
149	0.3240288807
150	0.3238486598
151	0.3236931237
152	0.3235284499
153	0.3233604042
154	0.3231894083
155	0.3230354494
156	0.3228556217
157	0.32277237
158	0.3226233301
159	0.3223991651
160	0.3222704699
161	0.3220696364
162	0.3218972773
163	0.3217750387
164	0.3216701194
165	0.3215151231
166	0.3213779652
167	0.3211747496
168	0.3209832988
169	0.3208568633
170	0.3207353846
171	0.3206253056
172	0.3204730685
173	0.3203592106
174	0.3201529554
175	0.3200221742
176	0.3198850601
177	0.3197516234
178	0.3196573221
179	0.3195275429
180	0.3193661568
181	0.3191530032
182	0.31899416
183	0.318877012
184	0.3187797325
185	0.3186169932
186	0.3185307724
187	0.3184194936
188	0.3182580351
189	0.3181919722
190	0.3180597116
191	0.3178981671
192	0.317762718
193	0.3176632497
194	0.317548087
195	0.3173655626
196	0.3172304413
197	0.3171151563
198	0.3170048262
199	0.3168382763
200	0.3167048184
201	0.3165602407
202	0.3164781172
203	0.3163550886
204	0.3161757652
205	0.3160897264
206	0.3159132644
207	0.315789456
208	0.3156379375
209	0.3154546159
210	0.3153232095
211	0.3151810838
212	0.3150412188
213	0.3149336557
214	0.3147853436
215	0.314661074
216	0.314542246
217	0.314390594
218	0.3142129121
219	0.3141237037
220	0.3139907473
221	0.3138759306
222	0.3137058224
223	0.3136290871
224	0.3134937627
225	0.3133787605
226	0.3133286145
227	0.3132106939
228	0.3130760073
229	0.3129567486
230	0.3128500013
231	0.3127705995
232	0.3126755659
233	0.3125420033
234	0.3124069055
235	0.3123080446
236	0.3121519371
237	0.3120232449
238	0.3118962035
239	0.3118035424
240	0.3116921017
241	0.3115747545
242	0.311495853
243	0.3113816602
244	0.3112966803
245	0.3112041166
246	0.3110981501
247	0.3109918477
248	0.3108840576
249	0.3107979766
250	0.3106425766
251	0.3105084677
252	0.3104021147
253	0.3103198416
254	0.3102355901
255	0.3101331758
256	0.3100152747
257	0.3099157176
258	0.3097792594
259	0.3097021273
260	0.3096012215
261	0.3095309055
262	0.3094018695
263	0.3093227665
264	0.3092101574
265	0.3091215752
266	0.3090108254
267	0.3089070143
268	0.3088034505
269	0.308724926
270	0.3086232641
271	0.3085437699
272	0.3084290733
273	0.3083274583
274	0.3082092819
275	0.3081237594
276	0.3080084213
277	0.3078979521
278	0.30782972
279	0.3077182087
280	0.3076317655
281	0.3074972211
282	0.3074087041
283	0.3072985157
284	0.3072021449
285	0.3071259346
286	0.3070363118
287	0.3069364822
288	0.3068437943
289	0.3067087328
290	0.3066458636
291	0.3065446802
292	0.3064615513
293	0.3063573693
294	0.3062666977
295	0.30616237
296	0.3060602536
297	0.3059882821
298	0.305916658
299	0.3058365044
300	0.3057707659
301	0.3056943786
302	0.3055778616
303	0.3055210016
304	0.3053986046
305	0.3052790055
306	0.3051756072
307	0.3050731697
308	0.3049741384
309	0.3049011193
310	0.304830988
311	0.3047285748
312	0.3046124057
313	0.3045278561
314	0.3044048644
315	0.3042926834
316	0.3041920413
317	0.3040912855
318	0.3039967306
319	0.3039022881
320	0.3038131437
321	0.3037202431
322	0.3036110622
323	0.3035435162
324	0.3034593156
325	0.303366862
326	0.303267188
327	0.3031736788
328	0.3030884074
329	0.3030357972
330	0.3029436318
331	0.3028439577
332	0.3027632594
333	0.3026763299
334	0.3025818405
335	0.3024552727
336	0.3023683898
337	0.3022802567
338	0.302176857
339	0.3020899737
340	0.3020250632
341	0.30193221
342	0.3018230309
343	0.3017123716
344	0.3016448779
345	0.3015248515
346	0.3014591103
347	0.3013784031
348	0.301282941
349	0.3011883466
350	0.3011136381
351	0.3010244859
352	0.3009461028
353	0.3008692544
354	0.3007808849
355	0.3007152418
356	0.3006531707
357	0.3005521652
358	0.3005026399
359	0.3004339146
360	0.3003670098
361	0.3003019698
362	0.300197926
363	0.3000886396
364	0.3000176038
365	0.2999539862
366	0.2998462487
367	0.2997819143
368	0.2997060689
369	0.2996474929
370	0.2995707855
371	0.2994581919
372	0.2993698525
373	0.2992819907
374	0.2992167897
375	0.2991098276
376	0.299035482
377	0.2989308565
378	0.2988488423
379	0.2987439632
380	0.2986851348
381	0.2985896044
382	0.2984658929
383	0.2983833819
384	0.2983249926
385	0.2982601165
386	0.2981682974
387	0.2980968673
388	0.2980399365
389	0.2979478762
390	0.2978659036
391	0.2977845224
392	0.2977246037
393	0.2976813498
394	0.2976305385
395	0.2975614033
396	0.2975034361
397	0.2973979034
398	0.2972811267
399	0.2972184355
400	0.2971212569
401	0.2970595466
402	0.2969635204
403	0.2968863065
404	0.2967855237
405	0.2967185954
406	0.2966418099
407	0.2965562061
408	0.2964872883
409	0.2964128568
410	0.2963637052
411	0.296274045
412	0.2962010318
413	0.2961088411
414	0.296056399
415	0.2959658244
416	0.2958754178
417	0.2957902516
418	0.2957257172
419	0.295646643
420	0.2955594989
421	0.2954790297
422	0.2954317443
423	0.2953418711
424	0.295278347
425	0.2951780926
426	0.2950736357
427	0.2949996039
428	0.2949201275
429	0.2948411585
430	0.294774042
431	0.2947033655
432	0.2946292933
433	0.294574932
434	0.2945293773
435	0.2944839231
436	0.2944178785
437	0.2943473384
438	0.294283663
439	0.2941918491
440	0.2941370553
441	0.294042848
442	0.2939459752
443	0.2938845942
444	0.2938027806
445	0.2937500548
446	0.2936591802
447	0.2935864281
448	0.2935006012
449	0.2934145095
450	0.2933668966
451	0.2932820775
452	0.2931934684
453	0.2931420243
454	0.2930551508
455	0.2929647704
456	0.2928880767
457	0.2928053194
458	0.2927216468
459	0.2926500507
460	0.2926030229
461	0.2925368219
462	0.2924706557
463	0.2924292816
464	0.2923609499
465	0.2922922194
466	0.2922358274
467	0.2921763252
468	0.2920630601
469	0.2920009102
470	0.2919348553
471	0.2918651499
472	0.2918086682
473	0.2917507942
474	0.2916805161
475	0.2916404651
476	0.2915442233
477	0.2914806447
478	0.2913963664
479	0.2913043439
480	0.2912458196
481	0.2911637993
482	0.2911030373
483	0.2910433323
484	0.2909622386
485	0.2909008559
486	0.2908405477
487	0.2907838284
488	0.2907080017
489	0.2906522301
490	0.2905810079
491	0.290510587
492	0.2904318999
493	0.2903691031
494	0.2903189832
495	0.2902422154
496	0.2901757525
497	0.2901150234
498	0.2900573771
499	0.2900007705
500	0.2899304175
501	0.289853984
502	0.2897833211
503	0.2897283049
504	0.2896488488
505	0.2895724558
506	0.2894952335
507	0.2894232578
508	0.2893637332
509	0.289284711
510	0.2891755315
511	0.2890982309
512	0.2890532555
513	0.2889973454
514	0.2889457475
515	0.2888796283
516	0.2888123028
517	0.2887574486
518	0.2886952332
519	0.2886500447
520	0.2886030719
521	0.2885241348
522	0.288461561
523	0.288402943
524	0.2883399384
525	0.2882992145
526	0.288239928
527	0.2881436517
528	0.2880902824
529	0.2880095262
530	0.2879504794
531	0.2878836206
532	0.2878367819
533	0.2877559907
534	0.2876880583
535	0.2876324645
536	0.2875386831
537	0.2874490324
538	0.2873594305
539	0.2872910376
540	0.2872083088
541	0.2871409693
542	0.2870677413
543	0.2870076144
544	0.286944017
545	0.2868809525
546	0.2868417939
547	0.2868045278
548	0.2867474581
549	0.2866773765
550	0.2866184939
551	0.2865715965
552	0.286524877
553	0.2864418168
554	0.2863774262
555	0.2863008654
556	0.2862571524
557	0.2861910071
558	0.286118938
559	0.2860519501
560	0.2859976235
561	0.2859295348
562	0.285859206
563	0.2858159349
564	0.2857552352
565	0.2856975628
566	0.2856449049
567	0.2855703632
568	0.2854790614
569	0.2854238869
570	0.2853551126
571	0.2853004299
572	0.2852473769
573	0.285194243
574	0.285127096
575	0.2850707684
576	0.2850304529
577	0.2849822191
578	0.2849172843
579	0.2848645858
580	0.2848166524
581	0.2847512102
582	0.2846791987
583	0.2846180191
584	0.2845481841
585	0.2844679122
586	0.2844073603
587	0.2843426244
588	0.284285603
589	0.2842024045
590	0.28413958
591	0.2840647426
592	0.2840122918
